[NH3]CCC[NH3],O=P([O])([O])OP(=O)([O])[O],hydrate,3,TUDMOU
Cc1ccc(cc1)S(=O)(=O)N1N=C(C2CCCC(O)C12)c1ccccc1,NC(=O)Nc1ccccc1,failed,0,
[NH3]CC(C[NH3])(C[NH3])C[NH3],O=N(=O)[O],salt,1,FAYBUC
F[P](F)(F)(F)(F)F,Oc1cccc2ccc[n](Cc3ccccc3)c12,salt,1,UPOXOP
O=C1NC(=O)c2cc3C(=O)NC(=O)c3cc12,OCCOCCOc1cccc2c(OCCOCCO)cccc12,solvate,3,NUXCIU
CCOc1ccc(Cc2cc(ccc2Cl)C2OC(CO)C(O)C(O)C2O)cc1,O=C([O])C1[NH2]CCC1,hydrate,3,CIRFEQ
CN1C(=O)N(C)C2=C(N=CN2)C1=O,CNCc1ccc(cc1)C1=C2CCNC(=O)c3cc(F)cc(N1)c23,hydrate,3,JIBMAM
CCCC1c2cc(C(CCC)c3cc(C(CCC)c4cc(C(CCC)c5cc1c(O)cc5O)c(O)cc4O)c(O)cc3O)c(O)cc2O,c1cc(ccn1)c1ccncc1,solvate,3,FOTKOQ
C(Cc1ccncc1)Cc1ccncc1,OC(=O)c1ccc(Oc2ccc(cc2)C(O)=O)cc1,cocrystal,2,VOJHAE
O=N(=O)[O],Nc1[nH]cnc2NC=[NH]c12,salt,1,BIDRUB12
O=C1N2c3cccnc3N=C2c2cccc3cccc1c23,Oc1cccc(O)c1,cocrystal,2,KEXJIH
NC(=[NH2])c1ccc(cc1)C(N)=[NH2],Brc1cc(Br)c([O])c(Br)c1,failed,0,
O=N(=O)c1ccc(cc1)S(=O)(=O)[O],CCOCC(O)COc1ccc(NC(=O)CC[NH](C)C)cc1,salt,1,GOTPOU
COc1cccc(OC)c1,N#CC(C#N)=C(C#N)C1=CC=C(S1)C1=CC=C(N1c1ccccc1)C1=CC=C(S1)C(C#N)=C(C#N)C#N,cocrystal,2,ALUMID
c1cc2nc(c1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccc2cc1,COC(=O)c1cc(OCCCN2C=C(COc3cc(cc(c3)C(=O)OC)C(=O)OC)N=N2)cc(c1)C(=O)OC,solvate,3,BOBHAE
O=C([O])C(Cc1ccccc1)NC(=O)Nc1ccccc1,CCCCN(Cc1ccccc1)C(=O)CCC(=O)N(CCCC)Cc1ccccc1,failed,0,
Oc1ccc(Br)cc1,CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,cocrystal,2,UMABAN
[NH2](CC[NH2]CC1=NNN=C1)CC1=NNN=C1,OC(C(=O)[O])(c1ccccc1)c1ccccc1,failed,0,
NC1=NNC(=N1)c1ccccc1,[NH3]C(CC1=CNC=[NH]1)C(=O)NC(C)C(=O)[O],failed,0,
Oc1cc(O)c(Br)cc1Br,O1C(=Nc2ccccc12)C=Cc1ccccc1,cocrystal,2,XEDTIN
COC1=C(O)C=CC(=C1)C=O,C1CC2=CC=CC3=C2C1=CC=C3,failed,0,
OC(=O)c1cc(ccc1O)S(=O)(=O)[O],O=C(NN=Cc1ccc(cc1)N(=O)=O)c1cc[nH]cc1,salt,1,VOGSIX
O=C([O])C1(CCC1)C(=O)[O],[NH3]C1CCCC1,salt,1,JEKJOZ
CC1(C)C=C(C(=O)NCCS(=O)(=O)[O])C(C)(C)N1[O],CC(C)[NH](CC[NH](Cc1ccc2ccccc2n1)C(C)C)Cc1ccc2ccccc2n1,failed,0,
Cc1ccc(cc1)S(=O)(=O)[O],C[n]1ccc(cc1)C1C(C(C1c1ccccc1O)c1cc[n](C)cc1)c1ccccc1O,hydrate,3,ROKRIS
O=C([O])c1cccnc1,NC(=[NH2])c1ccccc1,salt,1,BUHPAX
NC(=O)c1cccnc1,OC(=O)c1cc(ccc1Cl)N(=O)=O,cocrystal,2,NUBHAW
O=C([O])CCC(=O)[O],CC(C)CN1C=Nc2c(N)[nH]c3ccccc3c12,hydrate,3,QUFDIF
c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,Oc1cc(O)c(Cl)cc1Cl,hydrate,3,EKUJOM
CC1C2CCC(C)(O)C3C4C5C=C(C)C6(C7OC(=O)C(C)C7CCC(C)(O)C56)C4C(=C3C2OC1=O)C,c1ccccc1,cocrystal,2,FEPKOB
C1CN(CCN1c1ccncc1)c1ccncc1,O=P([O])c1ccccc1,failed,0,
c1cc(ccn1)C=Cc1ccncc1,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,cocrystal,2,EGEPAJ
COc1ccc2[nH]c(cc(N(C)C)c2c1[NH](C)C)N(C)C,O=N(=O)c1cc(c([O])c(c1)N(=O)=O)N(=O)=O,solvate,3,CABKUO
O=N(=O)[O],CCC1(C[NH2]C1)ON(=O)=O,salt,1,PIZGUA
FC(F)(F)C1=NN=C2N=NC(=NN12)[N]N(=O)=O,[NH4],hydrate,3,QOPBOQ
CC=CC=CC(=O)[O],[NH3]C(C)c1cccc2ccccc12,salt,1,ASONEB
CC12CCC3C(CCC4=C3C=CC(=C4)O)C1CCC2O,OC1=CC=CC2=CC=CC=C12,failed,0,
[NH2]=C(O)N1c2ccccc2C=Cc2ccccc12,CCOC(=O)C(CC)=C([O])OCC,failed,0,
[NH3]NC(NN)=[NH]N,O=N(=O)N=C1NN=C2N1N=C([N]N(=O)=O)N2[N]N(=O)=O,hydrate,3,VIWDUE
CC(C)(C)C1=CC2=CC(=C3C=C(C=C4C=C(C#Cc5ccccn5)C(=C1)C2(C)C34C)C(C)(C)C)C#Cc1ccccn1,CC(C)(C)C1=CC2=C(C=C3C=C(C=C4C(=CC(=C1)C2(C)C34C)C#Cc1ccccn1)C(C)(C)C)C#Cc1ccccn1,cocrystal,2,OJUSUK
C[N]1=CN(CCc2ccccc2)C=C1,FC(F)(F)S(=O)(=O)[N]S(=O)(=O)C(F)(F)F,salt,1,DOQGOG
FC(F)(F)S(=O)(=O)[O],CC(C)[N]1=CC(C)(C)CC1(C)C,salt,1,SEFXUZ
[O][n]1cccc2ccccc12,CCC1c2cc(C(CC)c3cc(C(CC)c4cc(C(CC)c5cc1c(O)c(C)c5O)c(O)c(C)c4O)c(O)c(C)c3O)c(O)c(C)c2O,solvate,3,ZUBQEU
CC1=CC2=C(C=C1)C=C(C)C=C2,O=C1NC(=O)C2=CC=CC=C12,failed,0,
O=N(=O)C1=NN(C=C1)[C](N(=O)=O)N(=O)=O,[NH3]O,salt,1,UKIHON
NC(=O)c1cccnc1,OC(=O)c1cc(O)ccc1O,cocrystal,2,PEKRUU
ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,COc1ccc(cc1)C1=Cc2ccccc2O1,cocrystal,2,UXACAZ
C1COCCOCCOCCOCCO1,NC1=NON=C1N,cocrystal,2,HUNWUI
[NH3]C(C)c1ccccc1OC,C1CCCCCC(CCCCC1)OC[N]1=CN(Cc2ccccc2)C=C1,failed,0,
O=N(=O)C(=C=[N])N(=O)=O,c1ccc(cc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,salt,1,ZUFGAK
Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O])c1Cl,Nc1cc[nH]cc1,hydrate,3,SAXQOZ
O=C1CCCc2[nH]c3ccccc3c(CC34CC5CC(CC(C5)C3)C4)c12,Cc1ccc(cc1)S(=O)(=O)[O],salt,1,IBELAF
[NH3]Cc1cccc2ccccc12,CCC(C)(C)C(=O)[O],salt,1,ISETIJ
OC(=O)c1cc(cc(c1)N(=O)=O)C(O)=O,c1ccc2c(c1)ccc1ccccc21,cocrystal,2,ABUPES
[NH3]C(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)[O])C)c1ccccc1,CC(C)c1ccc(C)cc1O,hydrate,3,QANXAI
Cc1c(C)c2CC[n]3ccc4ccccc4c3c2c2c1CC[n]1ccc3ccccc3c21,O=N(=O)[O],salt,1,VIFKUS
CCc1[nH]c(N)nc(N)c1c1ccc(Cl)cc1,Oc1cc(O)cc(c1)C(=O)[O],hydrate,3,PIPREO
c1cc(ccn1)c1ccncc1,OC(=O)CCCCCC(O)=O,cocrystal,2,XOLHUC
N(Nc1ccncc1)c1ccncc1,C1=CN(C=N1)c1ccc(cc1)c1cncnc1,failed,0,
NS(=O)(=O)c1cc(C(O)=O)c(NCC2=CC=CO2)cc1Cl,NC(=O)c1ccncc1,cocrystal,2,LOFLID
O1C(=NN=C1c1ccncc1)c1ccncc1,OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O,cocrystal,2,WANDEV
O=[Cl](=O)(=O)[O],[O]C1=C([C](c2[nH]cccc2)=C2N3C=CC=CC3=[NH]C2=[O])N2C=CC=CC2=[NH]1,hydrate,3,AHOREW
OC(=O)C1=CC=C(Cl)S1,O=C1C=C(NC(=C1)c1ccccn1)c1ccccn1,failed,0,
NNC(=O)c1cc[nH]cc1,CC#CC(=O)[O],salt,1,VAXROD
NC=[N]1CCCC1,CCOP(=O)([O])C(Cl)(Cl)P(=O)([O])OCC,failed,0,
[NH3]CC,O=C([O])c1ccccc1C(=O)[O],hydrate,3,UHISEM
OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O])(C(F)(F)F)C(F)(F)F,CC(C)(C)C1=CC2=[N]C3=C4SSN=C4C(=CC3=[N]C2=C2SSN=C12)C(C)(C)C,failed,0,
Clc1ccc(cc1)C1=C(SSC2=C(c3ccc(Cl)cc3)[C](C#N)C(=O)NC2=O)C(=O)NC(=O)[C]1C#N,CC1(C)C2CCC1(C)C(C2)OS(=O)(=O)[O],failed,0,
